Image,target
508.jpg,kuchipudi
246.jpg,kathakali
473.jpg,odissi
485.jpg,odissi
128.jpg,bharatanatyam
410.jpg,kuchipudi
465.jpg,odissi
196.jpg,kathakali
340.jpg,manipuri
467.jpg,odissi
306.jpg,mohiniyattam
171.jpg,bharatanatyam
323.jpg,sattriya
332.jpg,sattriya
330.jpg,sattriya
170.jpg,bharatanatyam
479.jpg,odissi
9.jpg,kathak
283.jpg,mohiniyattam
114.jpg,sattriya
507.jpg,odissi
183.jpg,kathakali
200.jpg,kathakali
457.jpg,odissi
264.jpg,mohiniyattam
194.jpg,kathakali
518.jpg,odissi
175.jpg,kuchipudi
64.jpg,kathak
152.jpg,bharatanatyam
270.jpg,manipuri
125.jpg,bharatanatyam
38.jpg,kathak
440.jpg,bharatanatyam
302.jpg,mohiniyattam
394.jpg,kuchipudi
448.jpg,odissi
463.jpg,odissi
20.jpg,kathak
301.jpg,kathakali
28.jpg,kathak
61.jpg,kathak
398.jpg,kuchipudi
349.jpg,kuchipudi
271.jpg,mohiniyattam
286.jpg,mohiniyattam
431.jpg,bharatanatyam
316.jpg,sattriya
224.jpg,kathakali
411.jpg,bharatanatyam
278.jpg,mohiniyattam
456.jpg,kuchipudi
45.jpg,kathak
324.jpg,manipuri
6.jpg,kathak
59.jpg,kathakali
86.jpg,kathak
470.jpg,odissi
374.jpg,kuchipudi
132.jpg,bharatanatyam
216.jpg,kathakali
95.jpg,manipuri
17.jpg,kathak
162.jpg,kuchipudi
346.jpg,sattriya
439.jpg,kuchipudi
232.jpg,kathakali
150.jpg,kuchipudi
401.jpg,kuchipudi
145.jpg,bharatanatyam
23.jpg,kathak
514.jpg,odissi
193.jpg,kathakali
416.jpg,bharatanatyam
447.jpg,kuchipudi
220.jpg,kathakali
505.jpg,kathakali
147.jpg,bharatanatyam
210.jpg,kathakali
40.jpg,kathak
284.jpg,kathakali
55.jpg,kathak
378.jpg,kathakali
520.jpg,sattriya
484.jpg,odissi
112.jpg,kuchipudi
360.jpg,sattriya
317.jpg,kathak
71.jpg,manipuri
202.jpg,kathakali
92.jpg,manipuri
11.jpg,manipuri
67.jpg,bharatanatyam
138.jpg,kuchipudi
506.jpg,kathakali
146.jpg,bharatanatyam
318.jpg,sattriya
198.jpg,kathakali
375.jpg,manipuri
41.jpg,kuchipudi
421.jpg,odissi
129.jpg,bharatanatyam
14.jpg,kathak
460.jpg,odissi
34.jpg,kathak
380.jpg,kuchipudi
238.jpg,kathakali
392.jpg,kuchipudi
80.jpg,manipuri
517.jpg,odissi
13.jpg,kathak
189.jpg,kathakali
390.jpg,kuchipudi
487.jpg,odissi
438.jpg,kuchipudi
482.jpg,odissi
206.jpg,kathakali
217.jpg,kathakali
285.jpg,mohiniyattam
385.jpg,kuchipudi
495.jpg,odissi
269.jpg,kathakali
429.jpg,odissi
291.jpg,mohiniyattam
461.jpg,odissi
256.jpg,mohiniyattam
48.jpg,bharatanatyam
290.jpg,mohiniyattam
437.jpg,kuchipudi
498.jpg,odissi
173.jpg,bharatanatyam
280.jpg,mohiniyattam
119.jpg,bharatanatyam
363.jpg,kuchipudi
97.jpg,manipuri
414.jpg,kuchipudi
386.jpg,kuchipudi
424.jpg,sattriya
157.jpg,manipuri
33.jpg,sattriya
354.jpg,sattriya
57.jpg,kathak
108.jpg,manipuri
239.jpg,kathakali
441.jpg,kuchipudi
215.jpg,kathakali
373.jpg,odissi
292.jpg,mohiniyattam
110.jpg,manipuri
510.jpg,odissi
275.jpg,kathakali
366.jpg,sattriya
226.jpg,manipuri
35.jpg,kathak
458.jpg,odissi
358.jpg,sattriya
